lyrics,moods
"There goes my baby Out of my reach Why won't you take me? It's so hard to breathe How could you fall short? You were taller than me There goes my baby Why did you leave? Real, is your love real? Darling, I've lost my mind Still, I've got to feel Something so hard to find There goes my baby Out of my reach Why won't you take me? It's so hard to breathe How could you fall short? You were taller than me But there goes my baby Finally free Are you sure That you want more? If it's from him Why did you waste all my time? You were bored, and I was alone Feels like somebody's taking my life There goes my baby Out of my reach Why won't you take me? It's so hard to breathe How could you fall short? You were taller than me There goes my baby Why did you leave? Real, is your love real? Darling, I've lost my mind","romantic,sad"
"I'm headed straight for the floor The alcohol's served its tour And it's headed straight for my skin Leaving me daft and dim I've got this shake in my legs Shaking the thoughts from my head But who put these waves in the door? I crack and out I pour I'm Mr. Loverman And I miss my lover, man I'm Mr. Loverman Oh, and I miss my lover The ways in which you talk to me Have me wishin' I were gone The ways that you say my name Have me runnin' on and on Oh, I'm crampin' up, I'm crampin' up But you're crackin' up, you're crackin' up I'm Mr. Loverman And I miss my loverman I'm Mr. Loverman Oh, and I miss my lover I've shattered now, I'm spilling out Upon this linoleum ground (Mr. Loverman) I'm reeling in my brain again Before it can get back to you (Mr. Loverman) Oh, what am I supposed to do without you? I'm Mr. Loverman And I miss my loverman (I miss my lover) I'm Mr. Loverman Oh, and I miss my lover (Mr. Loverman) I'm Mr. Loverman (I miss my lover) And I miss my lover, man I'm Mr. Loverman And I miss my lover","sad,romantic"
"Hold my hand until we turn to ashes Love me 'til they put me in my casket I got all these feelings that I'm maskin' Can I lay it on you? That's what I'm askin' Red wine kissing in the house that your parents Got for you, rented, how'd you forget it? I think about you and nothin' else So if you would just come over, I could show you for myself And it's nights like this when I need your love When I need someone that'll heal my soul It's nights like this Nights like, nights like this, ooh, ooh Nights like this Ooh, ooh And it's nights like this when I need your love When I need someone that'll heal my soul It's nights like this Nights like, nights like this, ooh, ooh","mysterious,focused"
"Hello, I've waited here for you Everlong Tonight, I throw myself into And out of the red, out of her head, she sang Do do do do do do dododo Do do do do do do dododo Do do do do do do do do Do do dododo Come down, and waste away with me Down with me Slow, how you wanted it to be I'm over my head, out of her head, she sang And I wonder When I sing along with you If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang Do do do do do do dododo Do do do do do do dododo Do do do do do do do do Do do dododo Breathe out, so I can breathe you in Hold you in And now, I know you've always been Out of your head, out of my head, I sang And I wonder When I sing along with you If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang So, dad would take the Sundays off And that's the only time he could ever get any rest And so, because we were loud on Sundays He'd make us hold his construction boots over our head, 'til we'd sleep And they were really heavy boots and I used to say, 'Dad, come on, please' And like start crying, 'cause they're too heavy And I wonder If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when","energetic,focused"
"What do you have in store? One life away, we can't explore But I don't want to get in the way no more 'Cause this the type of feeling you can't ignore, ayy I'm ready to break down the door, settle the score I can't let you go away I miss the smile on your face You know that I lo-lo-lo-love the chase You told me once that I was crazy I said 'Baby girl, I know, but I can't let you go away' So don't you get me started now I want a yes, I don't want maybes 'Cause they leave me where you found me So don't leave Ooh, I just love the way you've got me feeling In love with the feeling It's like, ooh Take away the pain Baby, I'm healing, baby, I'm healing I don't need anything more Be the wave, I'll be the shore Crashing all over me I want you (Fire) What do you have in store? Type of girl that make me drop dead on the floor This the only girl that I love and adore This the type of love that you can't ignore I said, 'Hey, she coming my way' She running 'round saying whatever she wanna say I told her I don't wanna have to do this everyday Told her that I love her but she thinking it's a game Oh, no Now she uncomfortable Never wanna make her feel one-dimensional (Oh, yeah-oh, nah-nah-nah) Don't know how we got there, don't you get me started now You told me once that I was crazy I said 'Baby girl, I know, but I can't let you go away' So don't you get me started now I want a yes, I don't want maybes 'Cause they leave me where you found me So don't leave Ooh, I just love the way you've got me feeling (Oh, you got me feeling) In love with the feeling (Oh, you got me feeling) It's like, ooh Take away the pain Baby, I'm healing, baby, I'm healing (Baby, I'm healing, baby I'm healing) I don't need anything more (Ooh) Be the wave, I'll be the shore (Sho-o-ore) Crashing all over me I want you (Oh, yeah-ah-ah)","energetic,happy"
"I took my drugs and took my lovin' when I left out the spot I left the party with a Barbie, marking X on the dot She calls my phone up, but I told her, 'I'm a loner' (Uh) But she likes my watch and my droptop and my persona (Uh) We hit the highway, one-five-five with my whole foot on the dash She's in my ear, she's got no fear, she could care less if we crash But on my radar, I've got some nerve to play hard I waited for my chance, but playboys, we don't dance, dance, dance I lost my heart (Uh) Speedin' car, goin' ninety in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance I wanna stay, but playboys, we don't dance, dance, dance (I) So I won't dance again (I), oh, baby No, I won't dance again (That's why), oh yeah (Uh) No, I won't dance again (I) No, I won't dance again Pretty baby, ooh Uh Face in the daylight, wastin' time on the stars in the sky She's got my pager, blankets of love fall on my eyes Then I'm reminded, love don't come 'til you find it I just hope that it's workin', I'm yearnin', I'm searchin', uh The afterparty was on Wilson and 73rd You got the notion that somebody else was with me first But on my radar, you had some nerve to play hard You took away my chance, but playboys, we don't dance, dance, dance I lost my heart (Uh) Speedin' car goin' ninety in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance I wanna stay, but playboys, we don't dance, dance, dance (I) So I won't dance again (I), oh, baby No, I won't dance again (That's why), oh yeah (Uh) No, I won't dance again (I) No, I won't dance again Pretty baby, ooh","energetic,romantic"
"And all I am is a man I want the world in my hands I hate the beach, but I stand In California with my toes in the sand Use the sleeves of my sweater, let's have an adventure Head in the clouds, but my gravity's centered Touch my neck and I'll touch yours You in those little high-waisted shorts, oh She knows what I think about And what I think about One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothing that I wouldn't wanna tell you about, no 'Cause it's too cold for you here and now So let me hold both your hands in the holes of my sweater And if I may just take your breath away I don't mind if there's not much to say Sometimes the silence guides a mind To move to a place so far away The goosebumps start to raise The minute that my left hand meets your waist And then I watch your face Put my finger on your tongue 'cause you love the taste, yeah These hearts adore Everyone the other beats hardest for Inside, this place is warm Outside, it starts to pour Comin' down One love, two mouths One love, one house No shirt, no blouse Just us, you find out Nothin' that I wouldn't wanna tell you about No, no, no 'Cause it's too cold for you here and now So let me hold both your hands in the holes of my sweater 'Cause it's too cold for you here and now So let me hold both your hands in the holes of my sweater Woah Woah, woah, woah Woah, woah, woah, woah Woah, woah Woah, woah, woah, woah Woah, woah 'Cause it's too cold for you here and now So let me hold both your hands in the holes of my sweater 'Cause it's too cold for you here and now Let me hold both your hands in the holes of my sweater And it's too cold, it's too cold The holes of my sweater","calm,sad"
"Same bed, but it feels just a little bit bigger now Our song on the radio, but it don't sound the same When our friends talk about you, all it does is just tear me down 'Cause my heart breaks a little when I hear your name It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man Uh, my pride, my ego, my needs, and my selfish ways Caused a good, strong woman like you to walk out my life Now I'll never, never get to clean up the mess I made, oh And that haunts me every time I close my eyes It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man Although it hurts I'll be the first to say that I was wrong Oh, I know I'm probably much too late To try and apologize for my mistakes But I just want you to know I hope he buys you flowers I hope he holds your hand Give you all his hours When he has the chance Take you to every party 'Cause I remember how much you love to dance Do all the things I should've done When I was your man Do all the things I should've done When I was your man","sad,romantic"
"I'm heavy, I'm by your side Forget me 'cause I know what I need Like a loser like me could be fine I'm heavy, alone inside Don't tell me what I want, what I need Like a loser like me will be fine Maybe I'm living in my head Maybe I'm living to pretend Maybe I wanna stay in bed Far from the weight of the world In my hands, 'cause they don't understand Is someone telling me 'Don't get in the water'? What have I done? I don't wanna get lost inside the color under my tongue 'Cause I don't want to be in love with another Even in another life Can someone tell me it's alright to be covered Underneath the covers? But I, no, I don't need to sleep anymore Is someone banging at my door When I just wanna be alone? Is someone banging at my door? Je ne sais pas qui est ici Is someone banging at my door When I just wanna be alone? Is someone banging at my door, door, door, door? Door, door, door, door, my door Is someone banging at my door? 'Cause I just wanna be alone Yeah, I just wanna be alone I just wanna be alone Yeah, I just wanna be alone I just wanna be alone","calm,sad"
"To all the days we were together To all the time we were apart Of each other's lives, heart to heart And so I had a late arrival So we never saw the start Of each other's lives, heart to heart Heart to heart, heart to heart Heart to heart, heart to heart And though it seems so quick and easy Sentimentally assumed Walking parallels, heart to heart To all the days we were together To all the time we played apart In each other's lives, heart to heart Heart to heart, heart to heart Heart to heart, heart to heart Heart to heart, heart to heart Heart to heart, heart to heart Weo! Weo! Weo! Weo! Heh-heh","calm,romantic"
"(Drink some, drink some, drink some, drink some) (Drink some, drink some, drink some, drink some) Drink some, drink some, drink some, drink some Drink some, drink some, drink some, drink some Drink some, drink some, drink some, drink some Drink some, drink some, drink some, drink some Smoke some, drink some, pop— Smoke some, drink some, pop— (Ooh-ah) Smoke some, drink some, pop one Smoke some, drink some, pop one (Ooh-ah) Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop one (Yeah) Smoke some, drink some, pop one Smoke some, drink some, pop one (Ooh-ah) Smoke some, drink some, pop one Smoke some, drink some, pop one (Yeah) Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop— One Yeah, yeah So smoke some, drink some, pop one (Lit) Smoke some, drink some, pop one (Lit) Smoke some, drink some, pop one (Lit) Smoke some, drink some, pop one (Lit) Yeah Smoke some, drink some, pop one (Ooh-ah) Smoke some, drink some, pop one (Ooh-ah) Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop one (Yeah) Smoke some, drink some, pop one (Ooh-ah) Smoke some, drink some, pop one Smoke some, drink some, pop one (Yeah) Smoke some, drink some, pop one Smoke some, drink some, pop one Smoke some, drink some, pop one Your mama never let you guys outside She probably still beat your ass Man, what the… Man, you a virgin? You a virgin, huh? Your lil' small, your lil' skinny ass can't even take it What you doin' with that weed? Where you get that? Huh? I'ma tell your mama","mysterious,calm,focused"
"(Dean, what's poppin'? Hahahahaha. Yo, Travis) Mhm, ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh Mama's mailin' out that blow, cravin' 9021— Ooh-ooh-ooh-ooh-ooh She a porn star girl, ah, from the valley (Honestly, God bless) Who left her hometown world all for that alley Ooh, created Lake Tahoe all from her panties (I hope it was wet like my jumper, though) Ooh, used to take the long way home Long way home, all for that candy (Hahahahaha, mhm) Baby's hooked on feeling low-ow Do, do, do Do, do Jacques turned La Flame, now he rollin' on an Addy Fifty on a chain, 'nother fifty on a Caddy Ooh, he might pop him a pill, pop him a seal Pop anyone, pop anything Pop anything to find that alley Mhm, yeah, to find that alley (Mhm) Baby's hooked on feeling low-ow Do, do, do Do, do In the 90210, 90210, lookin' for that alley In the 90210, 90210, lookin' for that alley, ooh It's the superstar girl, superstar girl, roamin' in that alley (Baby's hooked on feeling low-ow) Ooh, in the 90210, 90210, somewhere in that alley (Do, do, do) (Do, do) Ooh, ahh (I gotta tell ya) (Ooh-ooh-ooh-ooh) (Ooh-ooh-ooh-ooh) (Ooh-ooh-ooh-ooh) Ooh-ooh (Ball, ball, ball in, in) (Ball, ball, ball in, in) Ooh-ooh-ooh-ooh-ooh (Ball, ball, ball in, in) (Ball, ball, ball in, in) Yeah My granny called, she said, 'Travvy, you work too hard I'm worried you forget about me' (Ball, ball, ball) I'm fallin' in and out of clouds Don't worry, I'ma get it, Granny, uh What happened? Now my daddy happy Mama called me up, that money comin' and she love me (Ball, ball, ball in, in) I done made it now, I done found life's meanin' now (Ball, ball, ball in, in) All them days her heart'd break, her heart not in pieces now Friends turnin' into fraud niggas Practicin' half the passion, you niggas packaged different (Ball, ball, ball in, in) All you niggas, you niggas want the swag, you can't have it (Ball, ball, ball in, in) I'ma sell it, your niggas salary, we 'bout to cap, **** Youngest **** out of Houston at the Grammys Smilin' at 'em laughin' at me I passed the rock to Ye, he pump faked, then passed it back, **** (Ball, ball, ball in, in) All of this off of rappin', should've wrote this in Latin, yeah-yeah (Ball, ball, ball in, in) Mmm, I know, I know, I know, I know, I know I know, I know, I know, I know, I know Cuzzo said we hit the store, yeah, we 'bout to drop a four He passed the cigarette, I choke, woo Told my auntie, 'Put them 'Ports down, them 'Ports down' Now you know you love your own now Hit the stage, they got their hands up, don't put your nose down I ain't knockin', ****, I knocked the door down, for sure now Whole crew, I swear they countin' on me Gold chains, gold rings, I got an island on me Houses on me, he got them ounces on him Holy Father, come save these niggas, I'm stylin' on 'em Good Lord, I see my good fortune in all these horses I'm drivin' too fast to stop, so all these signs, I ignore them Just this guy from north of the border, my chips is in order My mom's biggest supporter, so now a **** support a **** (Ooh-ooh-ooh-ooh-ooh-ooh-ooh) (Ooh-ooh-ooh-ooh-ooh-ooh-ooh)","focused,calm"
"I saw her in the rightest way Looking like Anne Hathaway Laughing while she hit her pen and coughed, and coughed And then she came up to my knees Begging, 'Baby, would you please Do the things you said you'd do to me, to me?' Oh, won't you kiss me on the mouth and love me like a sailor? And when you get a taste, can you tell me, what's my flavor? I don't believe in God, but I believe that you're my savior My mom says that she's worried, but I'm covered in His favor And when we're getting dirty, I forget all that is wrong I sleep so I can see you 'cause I hate to wait so long I sleep so I can see you, and I hate to wait so long She took my fingers to her mouth The kind of thing that makes you proud That nothing else had ever worked out, worked out And maybe I tried other things But nothing can capture the sting Of the venom she's gonna spit out right now Oh, won't you kiss me on the mouth and love me like a sailor? And when you get a taste, can you tell me, what's my flavor? I don't believe in God, but I believe that you're my savior I know that you've been worried, but you're dripping in my favor And when we're getting dirty, I forget all that is wrong I sleep so I can see you 'cause I hate to wait so long I sleep so I can see you, and I hate to wait so long And we can run away to the walls inside your house I can be the cat, baby, you can be the mouse And we can laugh off things that we know nothing about We can go forever or until you wanna sit it out","sad,romantic"
